LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
9935,1906121416171102019-09-01,6869,20564
46540,OR_OR_VADOPAC_2021_SC-186_V12021-09-01,6885,20587
48669,17060310253339062017-09-01,6903,20631
48670,OR_BUDO_2021_BDO2021-111_V22022-09-01,6903,20631
1184,20173513201519B1,6932,20716
1187,20173513201519B2,6932,20716
13255,20214955100920B3,6937,20735
13255,20214955100920B3,6938,20733
13255,20214955100920B3,6939,20734
13693,UT_Cedar-City-LUP-2017_SS-078_V12021-09-01,6945,20743
14828,CO_GJFO_GUSG_2019_FID58_V22022-09-01,6946,20752
14829,19081911162946002019-09-01,6946,20752
41182,20211613101508B1,6948,20757
41232,20211613101508B2,6948,20757
42555,20221667106503B2,6951,20760
5837,NM_Farmington_LUP_2020_LOAM_178_V12020-09-01,6971,20803
40627,20191613102202B1,7004,20964
